A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-G1n,PRE-N2,POST-G1n-H1,POST-N2,,10.13,9.10,1.03
PRE-H1a,PRE-N2,POST-H1a-H1,POST-N2,,16.26,16.80,-0.54
PRE-H1b,PRE-N2,POST-H1b-H1,POST-N2,,18.59,19.40,-0.81
PRE-H1c,PRE-N2,POST-H1c-H1,POST-N2,,13.48,13.80,-0.32
PRE-H1d,PRE-N2,POST-H1d-H1,POST-N2,,20.00,20.90,-0.90
PRE-H1e,PRE-N2,POST-H1e-H1,POST-N2,,14.85,15.50,-0.65
PRE-H1f,PRE-N2,POST-H1f-H1,POST-N2,,15.20,16.00,-0.80
PRE-H1h,PRE-N2,POST-H1h-H1,POST-N2,,15.49,16.00,-0.51
PRE-H1j,PRE-N2,POST-H1j-H1,POST-N2,,18.62,19.10,-0.48
PRE-H1k,PRE-N2,POST-H1k-H1,POST-N2,,20.00,20.50,-0.50
PRE-H1l,PRE-N2,POST-H1l-H1,POST-N2,,17.57,18.80,-1.23
PRE-H1m,PRE-N2,POST-H1m-H1,POST-N2,,17.30,16.50,0.80
PRE-H1n,PRE-N2,POST-H1n-H1,POST-N2,,13.54,14.70,-1.16
PRE-I1a,PRE-N2,POST-I1a-H1,POST-N2,,13.82,14.20,-0.38
PRE-I1b,PRE-N2,POST-I1b-H1,POST-N2,,17.27,17.70,-0.43
PRE-I1c,PRE-N2,POST-I1c-H1,POST-N2,,13.28,13.30,-0.02
PRE-I1d,PRE-N2,POST-I1d-H1,POST-N2,,17.35,18.40,-1.05
PRE-I1e,PRE-N2,POST-I1e-H1,POST-N2,,14.69,15.30,-0.61
PRE-I1f,PRE-N2,POST-I1f-H1,POST-N2,,14.48,15.00,-0.52
PRE-I1h,PRE-N2,POST-I1h-H1,POST-N2,,13.80,13.20,0.60
PRE-I1j,PRE-N2,POST-I1j-H1,POST-N2,,16.53,16.50,0.03
PRE-I1k,PRE-N2,POST-I1k-H1,POST-N2,,16.01,16.60,-0.59
PRE-I1l,PRE-N2,POST-I1l-H1,POST-N2,,14.67,14.60,0.07
PRE-I1m,PRE-N2,POST-I1m-H1,POST-N2,,13.96,13.90,0.06
PRE-I1n,PRE-N2,POST-I1n-H1,POST-N2,,13.42,13.80,-0.38
PRE-J1a,PRE-N2,POST-J1a-H1,POST-N2,,15.63,16.50,-0.87
PRE-J1b,PRE-N2,POST-J1b-H1,POST-N2,,17.00,17.40,-0.40
PRE-J1c,PRE-N2,POST-J1c-H1,POST-N2,,14.61,14.90,-0.29
PRE-J1d,PRE-N2,POST-J1d-H1,POST-N2,,17.14,17.20,-0.06
PRE-J1e,PRE-N2,POST-J1e-H1,POST-N2,,15.64,16.10,-0.46
PRE-J1f,PRE-N2,POST-J1f-H1,POST-N2,,15.32,15.30,0.02
PRE-J1h,PRE-N2,POST-J1h-H1,POST-N2,,15.37,15.80,-0.43
PRE-J1i,PRE-N2,POST-J1i-H1,POST-N2,,15.67,16.00,-0.33
PRE-J1j,PRE-N2,POST-J1j-H1,POST-N2,,16.19,16.70,-0.51
PRE-J1k,PRE-N2,POST-J1k-H1,POST-N2,,17.14,18.10,-0.96
PRE-J1l,PRE-N2,POST-J1l-H1,POST-N2,,16.49,16.50,-0.01
PRE-J1m,PRE-N2,POST-J1m-H1,POST-N2,,15.65,16.30,-0.65
PRE-J1n,PRE-N2,POST-J1n-H1,POST-N2,,14.81,14.70,0.11
PRE-SI1,PRE-N2,POST-SI1-H1,POST-N2,,13.66,14.00,-0.34
PRE-SI2,PRE-N2,POST-SI2-H1,POST-N2,,13.86,13.70,0.16
PRE-SI3,PRE-N2,POST-SI3-H1,POST-N2,,14.14,14.80,-0.66
PRE-A1a,PRE-N3,POST-A1a-H1,POST-N3,,14.96,14.60,0.36
PRE-A1b,PRE-N3,POST-A1b-H1,POST-N3,,19.41,19.70,-0.29
PRE-A1c,PRE-N3,POST-A1c-H1,POST-N3,,11.08,10.90,0.18
PRE-A1d,PRE-N3,POST-A1d-H1,POST-N3,,21.20,20.90,0.30
PRE-A1e,PRE-N3,POST-A1e-H1,POST-N3,,13.02,13.10,-0.08
PRE-A1f,PRE-N3,POST-A1f-H1,POST-N3,,13.10,11.80,1.30
PRE-A1h,PRE-N3,POST-A1h-H1,POST-N3,,13.78,13.40,0.38
PRE-A1i,PRE-N3,POST-A1i-H1,POST-N3,,17.29,16.20,1.09
PRE-A1j,PRE-N3,POST-A1j-H1,POST-N3,,16.89,17.40,-0.51
PRE-A1k,PRE-N3,POST-A1k-H1,POST-N3,,21.40,22.20,-0.80
PRE-A1l,PRE-N3,POST-A1l-H1,POST-N3,,18.28,17.80,0.48
PRE-A1m,PRE-N3,POST-A1m-H1,POST-N3,,17.55,18.50,-0.95
PRE-A1n,PRE-N3,POST-A1n-H1,POST-N3,,9.56,8.90,0.66
PRE-B1a,PRE-N3,POST-B1a-H1,POST-N3,,16.19,16.90,-0.71
PRE-B1a,PRE-N3,POST-B1a-H3,POST-N3,,15.93,16.10,-0.17
PRE-B1b,PRE-N3,POST-B1b-H1,POST-N3,,18.94,20.40,-1.46
PRE-B1b,PRE-N3,POST-B1b-H2,POST-N3,,18.28,19.30,-1.02
PRE-B1b,PRE-N3,POST-B1b-H3,POST-N3,,17.04,17.10,-0.06
PRE-B1c,PRE-N3,POST-B1c-H1,POST-N3,,11.14,11.20,-0.06
PRE-B1c,PRE-N3,POST-B1c-H2,POST-N3,,16.20,17.70,-1.50
PRE-B1c,PRE-N3,POST-B1c-H3,POST-N3,,16.05,16.30,-0.25
PRE-B1d,PRE-N3,POST-B1d-H1,POST-N3,,20.97,22.00,-1.03
PRE-B1d,PRE-N3,POST-B1d-H2,POST-N3,,19.06,19.10,-0.04
PRE-B1d,PRE-N3,POST-B1d-H3,POST-N3,,18.17,17.90,0.27
PRE-B1e,PRE-N3,POST-B1e-H1,POST-N3,,14.35,15.00,-0.65
PRE-B1e,PRE-N3,POST-B1e-H2,POST-N3,,16.52,18.90,-2.38
PRE-B1e,PRE-N3,POST-B1e-H3,POST-N3,,16.23,16.30,-0.07
PRE-B1f,PRE-N3,POST-B1f-H1,POST-N3,,13.16,14.40,-1.24
PRE-B1f,PRE-N3,POST-B1f-H2,POST-N3,,16.52,17.50,-0.98
PRE-B1f,PRE-N3,POST-B1f-H3,POST-N3,,16.21,16.50,-0.29
PRE-B1h,PRE-N3,POST-B1h-H1,POST-N3,,13.12,13.60,-0.48
PRE-B1h,PRE-N3,POST-B1h-H2,POST-N3,,16.83,17.60,-0.77
PRE-B1h,PRE-N3,POST-B1h-H3,POST-N3,,16.31,16.50,-0.19
PRE-B1j,PRE-N3,POST-B1j-H1,POST-N3,,18.31,19.90,-1.59
PRE-B1j,PRE-N3,POST-B1j-H2,POST-N3,,18.25,19.70,-1.45
PRE-B1j,PRE-N3,POST-B1j-H3,POST-N3,,16.99,16.90,0.09
PRE-B1k,PRE-N3,POST-B1k-H1,POST-N3,,20.50,22.00,-1.50
PRE-B1k,PRE-N3,POST-B1k-H2,POST-N3,,18.02,19.20,-1.18
PRE-B1k,PRE-N3,POST-B1k-H3,POST-N3,,16.74,17.20,-0.46
PRE-B1l,PRE-N3,POST-B1l-H1,POST-N3,,18.40,19.70,-1.30
PRE-B1l,PRE-N3,POST-B1l-H2,POST-N3,,16.93,17.60,-0.67
PRE-B1l,PRE-N3,POST-B1l-H3,POST-N3,,16.34,16.60,-0.26
PRE-B1m,PRE-N3,POST-B1m-H1,POST-N3,,19.02,21.40,-2.38
PRE-B1m,PRE-N3,POST-B1m-H2,POST-N3,,17.04,17.20,-0.16
PRE-B1m,PRE-N3,POST-B1m-H3,POST-N3,,16.17,16.10,0.07
PRE-B1n,PRE-N3,POST-B1n-H1,POST-N3,,9.92,9.30,0.62
PRE-B1n,PRE-N3,POST-B1n-H2,POST-N3,,15.91,16.90,-0.99
PRE-B1n,PRE-N3,POST-B1n-H3,POST-N3,,15.84,16.30,-0.46
PRE-B2a,PRE-N3,POST-B2a-H1,POST-N3,,15.29,16.00,-0.71
PRE-B2a,PRE-N3,POST-B2a-H2,POST-N3,,16.69,17.40,-0.71
PRE-B2b,PRE-N3,POST-B2b-H1,POST-N3,,18.34,19.30,-0.96
PRE-B2b,PRE-N3,POST-B2b-H2,POST-N3,,18.77,18.90,-0.13
PRE-B2c,PRE-N3,POST-B2c-H1,POST-N3,,10.75,10.80,-0.05
PRE-B2c,PRE-N3,POST-B2c-H2,POST-N3,,16.66,17.20,-0.54
PRE-B2d,PRE-N3,POST-B2d-H1,POST-N3,,20.07,21.50,-1.43
PRE-B2d,PRE-N3,POST-B2d-H2,POST-N3,,19.51,19.20,0.31
PRE-B2e,PRE-N3,POST-B2e-H1,POST-N3,,14.85,16.60,-1.75
PRE-B2e,PRE-N3,POST-B2e-H2,POST-N3,,16.37,16.10,0.27
PRE-B2f,PRE-N3,POST-B2f-H1,POST-N3,,13.92,14.10,-0.18
PRE-B2f,PRE-N3,POST-B2f-H2,POST-N3,,16.78,16.90,-0.12
PRE-B2h,PRE-N3,POST-B2h-H1,POST-N3,,13.20,13.60,-0.40
PRE-B2h,PRE-N3,POST-B2h-H2,POST-N3,,16.79,17.70,-0.91
PRE-B2j,PRE-N3,POST-B2j-H1,POST-N3,,17.70,19.00,-1.30
PRE-B2j,PRE-N3,POST-B2j-H2,POST-N3,,18.38,18.90,-0.52
PRE-B2k,PRE-N3,POST-B2k-H1,POST-N3,,21.12,24.30,-3.18
PRE-B2k,PRE-N3,POST-B2k-H2,POST-N3,,18.26,18.80,-0.54
PRE-B2l,PRE-N3,POST-B2l-H1,POST-N3,,17.99,18.30,-0.31
PRE-B2l,PRE-N3,POST-B2l-H2,POST-N3,,17.03,17.30,-0.27
PRE-B2m,PRE-N3,POST-B2m-H1,POST-N3,,18.43,23.40,-4.97
PRE-B2m,PRE-N3,POST-B2m-H2,POST-N3,,16.97,16.60,0.37
PRE-B2n,PRE-N3,POST-B2n-H1,POST-N3,,10.26,9.40,0.86
PRE-B2n,PRE-N3,POST-B2n-H2,POST-N3,,16.21,17.90,-1.69
PRE-C1a,PRE-N3,POST-C1a-H1,POST-N3,,14.67,14.20,0.47
PRE-C1b,PRE-N3,POST-C1b-H1,POST-N3,,16.36,16.00,0.36
PRE-C1c,PRE-N3,POST-C1c-H1,POST-N3,,11.07,12.60,-1.53
PRE-C1d,PRE-N3,POST-C1d-H1,POST-N3,,18.48,18.70,-0.22
PRE-C1e,PRE-N3,POST-C1e-H1,POST-N3,,13.77,13.90,-0.13
PRE-C1f,PRE-N3,POST-C1f-H1,POST-N3,,13.54,13.20,0.34
PRE-C1h,PRE-N3,POST-C1h-H1,POST-N3,,13.23,15.00,-1.77
PRE-C1i,PRE-N3,POST-C1i-H1,POST-N3,,14.91,14.60,0.31
PRE-C1j,PRE-N3,POST-C1j-H1,POST-N3,,16.30,16.00,0.30
PRE-C1k,PRE-N3,POST-C1k-H1,POST-N3,,19.15,20.00,-0.85
PRE-C1l,PRE-N3,POST-C1l-H1,POST-N3,,16.63,17.00,-0.37
PRE-C1m,PRE-N3,POST-C1m-H1,POST-N3,,17.50,18.20,-0.70
PRE-C1n,PRE-N3,POST-C1n-H1,POST-N3,,9.80,10.60,-0.80
PRE-D1a,PRE-N3,POST-D1a-H1,POST-N3,,15.20,15.80,-0.60
PRE-D1b,PRE-N3,POST-D1b-H1,POST-N3,,16.41,18.20,-1.79
PRE-D1c,PRE-N3,POST-D1c-H1,POST-N3,,10.52,12.10,-1.58
PRE-D1d,PRE-N3,POST-D1d-H1,POST-N3,,18.77,20.10,-1.33
PRE-D1e,PRE-N3,POST-D1e-H1,POST-N3,,15.57,17.20,-1.63
PRE-D1f,PRE-N3,POST-D1f-H1,POST-N3,,13.96,15.70,-1.74
PRE-D1h,PRE-N3,POST-D1h-H1,POST-N3,,12.88,13.20,-0.32
PRE-D1j,PRE-N3,POST-D1j-H1,POST-N3,,17.34,18.00,-0.66
PRE-D1k,PRE-N3,POST-D1k-H1,POST-N3,,19.69,21.30,-1.61
PRE-D1l,PRE-N3,POST-D1l-H1,POST-N3,,16.35,17.40,-1.05
PRE-D1m,PRE-N3,POST-D1m-H1,POST-N3,,18.98,23.20,-4.22
PRE-D1n,PRE-N3,POST-D1n-H1,POST-N3,,11.31,13.00,-1.69
PRE-E1a,PRE-N3,POST-E1a-H1,POST-N3,,15.40,15.80,-0.40
PRE-E1b,PRE-N3,POST-E1b-H1,POST-N3,,17.24,17.20,0.04
PRE-E1c,PRE-N3,POST-E1c-H1,POST-N3,,13.44,14.00,-0.56
PRE-E1d,PRE-N3,POST-E1d-H1,POST-N3,,19.37,20.00,-0.63
PRE-E1e,PRE-N3,POST-E1e-H1,POST-N3,,14.80,15.10,-0.30
PRE-E1f,PRE-N3,POST-E1f-H1,POST-N3,,14.74,14.80,-0.06
PRE-E1h,PRE-N3,POST-E1h-H1,POST-N3,,14.19,14.20,-0.01
PRE-E1i,PRE-N3,POST-E1i-H1,POST-N3,,15.73,15.80,-0.07
PRE-E1j,PRE-N3,POST-E1j-H1,POST-N3,,16.94,17.30,-0.36
PRE-E1k,PRE-N3,POST-E1k-H1,POST-N3,,19.55,20.70,-1.15
PRE-E1l,PRE-N3,POST-E1l-H1,POST-N3,,17.77,18.00,-0.23
PRE-E1m,PRE-N3,POST-E1m-H1,POST-N3,,18.04,19.10,-1.06
PRE-E1n,PRE-N3,POST-E1n-H1,POST-N3,,12.77,13.40,-0.63
PRE-F1a,PRE-N3,POST-F1a-H1,POST-N3,,17.03,18.00,-0.97
PRE-F1b,PRE-N3,POST-F1b-H1,POST-N3,,18.34,20.00,-1.66
PRE-F1c,PRE-N3,POST-F1c-H1,POST-N3,,12.56,13.80,-1.24
PRE-F1d,PRE-N3,POST-F1d-H1,POST-N3,,21.67,23.90,-2.23
PRE-F1e,PRE-N3,POST-F1e-H1,POST-N3,,17.36,18.90,-1.54
PRE-F1f,PRE-N3,POST-F1f-H1,POST-N3,,15.74,16.90,-1.16
PRE-F1h,PRE-N3,POST-F1h-H1,POST-N3,,14.90,15.90,-1.00
PRE-F1j,PRE-N3,POST-F1j-H1,POST-N3,,18.78,20.70,-1.92
PRE-F1k,PRE-N3,POST-F1k-H1,POST-N3,,21.63,25.30,-3.67
PRE-F1l,PRE-N3,POST-F1l-H1,POST-N3,,19.97,20.70,-0.73
PRE-F1m,PRE-N3,POST-F1m-H1,POST-N3,,21.03,28.80,-7.77
PRE-F1n,PRE-N3,POST-F1n-H1,POST-N3,,13.73,12.10,1.63
PRE-G1a,PRE-N3,POST-G1a-H1,POST-N3,,15.61,15.70,-0.09
PRE-G1b,PRE-N3,POST-G1b-H1,POST-N3,,17.61,18.10,-0.49
PRE-G1c,PRE-N3,POST-G1c-H1,POST-N3,,12.35,12.80,-0.45
PRE-G1d,PRE-N3,POST-G1d-H1,POST-N3,,20.91,21.90,-0.99
PRE-G1e,PRE-N3,POST-G1e-H1,POST-N3,,14.99,15.40,-0.41
PRE-G1f,PRE-N3,POST-G1f-H1,POST-N3,,14.01,13.70,0.31
PRE-G1h,PRE-N3,POST-G1h-H1,POST-N3,,14.02,13.80,0.22
PRE-G1i,PRE-N3,POST-G1i-H1,POST-N3,,15.64,15.70,-0.06
PRE-G1j,PRE-N3,POST-G1j-H1,POST-N3,,17.59,18.40,-0.81
PRE-G1k,PRE-N3,POST-G1k-H1,POST-N3,,21.40,22.20,-0.80
PRE-G1l,PRE-N3,POST-G1l-H1,POST-N3,,18.98,19.70,-0.72
PRE-G1m,PRE-N3,POST-G1m-H1,POST-N3,,20.25,22.40,-2.15
PRE-G1n,PRE-N3,POST-G1n-H1,POST-N3,,11.92,11.60,0.32
PRE-H1a,PRE-N3,POST-H1a-H1,POST-N3,,16.15,17.30,-1.15
PRE-H1b,PRE-N3,POST-H1b-H1,POST-N3,,17.37,18.60,-1.23
PRE-H1c,PRE-N3,POST-H1c-H1,POST-N3,,12.52,12.90,-0.38
PRE-H1d,PRE-N3,POST-H1d-H1,POST-N3,,19.28,20.30,-1.02
PRE-H1e,PRE-N3,POST-H1e-H1,POST-N3,,15.12,17.10,-1.98
PRE-H1f,PRE-N3,POST-H1f-H1,POST-N3,,14.97,15.50,-0.53
PRE-H1h,PRE-N3,POST-H1h-H1,POST-N3,,14.82,15.70,-0.88
PRE-H1j,PRE-N3,POST-H1j-H1,POST-N3,,17.48,18.70,-1.22
PRE-H1k,PRE-N3,POST-H1k-H1,POST-N3,,20.02,22.10,-2.08
PRE-H1l,PRE-N3,POST-H1l-H1,POST-N3,,17.14,18.10,-0.96
PRE-H1m,PRE-N3,POST-H1m-H1,POST-N3,,19.64,23.90,-4.26
PRE-H1n,PRE-N3,POST-H1n-H1,POST-N3,,13.88,14.20,-0.32
PRE-I1a,PRE-N3,POST-I1a-H1,POST-N3,,11.40,11.90,-0.50
PRE-I1b,PRE-N3,POST-I1b-H1,POST-N3,,13.96,14.60,-0.64
PRE-I1c,PRE-N3,POST-I1c-H1,POST-N3,,10.87,11.00,-0.13
PRE-I1d,PRE-N3,POST-I1d-H1,POST-N3,,13.67,14.60,-0.93
PRE-I1e,PRE-N3,POST-I1e-H1,POST-N3,,12.02,12.50,-0.48
PRE-I1f,PRE-N3,POST-I1f-H1,POST-N3,,11.79,12.40,-0.61
PRE-I1h,PRE-N3,POST-I1h-H1,POST-N3,,10.89,10.60,0.29
PRE-I1j,PRE-N3,POST-I1j-H1,POST-N3,,12.79,13.50,-0.71
PRE-I1k,PRE-N3,POST-I1k-H1,POST-N3,,12.64,13.30,-0.66
PRE-I1l,PRE-N3,POST-I1l-H1,POST-N3,,11.79,11.90,-0.11
PRE-I1m,PRE-N3,POST-I1m-H1,POST-N3,,12.39,12.60,-0.21
PRE-I1n,PRE-N3,POST-I1n-H1,POST-N3,,12.13,12.60,-0.47
PRE-J1a,PRE-N3,POST-J1a-H1,POST-N3,,12.79,13.20,-0.41
PRE-J1b,PRE-N3,POST-J1b-H1,POST-N3,,13.92,14.00,-0.08
PRE-J1c,PRE-N3,POST-J1c-H1,POST-N3,,12.10,12.10,0.00
PRE-J1d,PRE-N3,POST-J1d-H1,POST-N3,,14.14,13.90,0.24
PRE-J1e,PRE-N3,POST-J1e-H1,POST-N3,,12.91,13.20,-0.29
PRE-J1f,PRE-N3,POST-J1f-H1,POST-N3,,12.48,12.70,-0.22
PRE-J1h,PRE-N3,POST-J1h-H1,POST-N3,,12.50,12.80,-0.30
PRE-J1i,PRE-N3,POST-J1i-H1,POST-N3,,12.93,13.50,-0.57
PRE-J1j,PRE-N3,POST-J1j-H1,POST-N3,,13.26,13.40,-0.14
PRE-J1k,PRE-N3,POST-J1k-H1,POST-N3,,14.01,15.20,-1.19
PRE-J1l,PRE-N3,POST-J1l-H1,POST-N3,,13.59,13.50,0.09
PRE-J1m,PRE-N3,POST-J1m-H1,POST-N3,,13.00,13.60,-0.60
PRE-J1n,PRE-N3,POST-J1n-H1,POST-N3,,12.48,12.40,0.08
PRE-SI1,PRE-N3,POST-SI1-H1,POST-N3,,11.09,11.60,-0.51
PRE-SI2,PRE-N3,POST-SI2-H1,POST-N3,,11.52,11.20,0.32
PRE-SI3,PRE-N3,POST-SI3-H1,POST-N3,,12.04,12.70,-0.66
PRE-A1a,PRE-N4,POST-A1a-H1,POST-N4,,16.70,17.30,-0.60
PRE-A1b,PRE-N4,POST-A1b-H1,POST-N4,,20.57,21.50,-0.93
PRE-A1c,PRE-N4,POST-A1c-H1,POST-N4,,11.52,12.00,-0.48
PRE-A1d,PRE-N4,POST-A1d-H1,POST-N4,,22.08,23.20,-1.12
PRE-A1e,PRE-N4,POST-A1e-H1,POST-N4,,14.17,14.50,-0.33
PRE-A1f,PRE-N4,POST-A1f-H1,POST-N4,,13.98,14.20,-0.22
PRE-A1h,PRE-N4,POST-A1h-H1,POST-N4,,14.59,15.00,-0.41
PRE-A1i,PRE-N4,POST-A1i-H1,POST-N4,,19.53,19.90,-0.37
PRE-A1j,PRE-N4,POST-A1j-H1,POST-N4,,18.97,20.20,-1.23
PRE-A1k,PRE-N4,POST-A1k-H1,POST-N4,,22.84,24.40,-1.56
PRE-A1l,PRE-N4,POST-A1l-H1,POST-N4,,19.53,20.20,-0.67
PRE-A1m,PRE-N4,POST-A1m-H1,POST-N4,,19.12,19.80,-0.68
PRE-A1n,PRE-N4,POST-A1n-H1,POST-N4,,10.14,10.40,-0.26
PRE-B1a,PRE-N4,POST-B1a-H1,POST-N4,,15.84,15.50,0.34
PRE-B1a,PRE-N4,POST-B1a-H3,POST-N4,,17.98,18.60,-0.62
PRE-B1b,PRE-N4,POST-B1b-H1,POST-N4,,19.03,19.50,-0.47
PRE-B1b,PRE-N4,POST-B1b-H2,POST-N4,,17.81,18.10,-0.29
PRE-B1b,PRE-N4,POST-B1b-H3,POST-N4,,19.12,19.70,-0.58
PRE-B1c,PRE-N4,POST-B1c-H1,POST-N4,,11.21,11.60,-0.39
PRE-B1c,PRE-N4,POST-B1c-H2,POST-N4,,16.07,16.10,-0.03
PRE-B1c,PRE-N4,POST-B1c-H3,POST-N4,,18.06,18.60,-0.54
PRE-B1d,PRE-N4,POST-B1d-H1,POST-N4,,21.10,21.50,-0.40
PRE-B1d,PRE-N4,POST-B1d-H2,POST-N4,,18.91,18.90,0.01
PRE-B1d,PRE-N4,POST-B1d-H3,POST-N4,,19.73,20.40,-0.67
PRE-B1e,PRE-N4,POST-B1e-H1,POST-N4,,13.81,13.40,0.41
PRE-B1e,PRE-N4,POST-B1e-H2,POST-N4,,16.57,17.00,-0.43
PRE-B1e,PRE-N4,POST-B1e-H3,POST-N4,,18.30,19.10,-0.80
PRE-B1f,PRE-N4,POST-B1f-H1,POST-N4,,13.45,13.30,0.15
PRE-B1f,PRE-N4,POST-B1f-H2,POST-N4,,16.39,17.20,-0.81
PRE-B1f,PRE-N4,POST-B1f-H3,POST-N4,,18.08,19.00,-0.92
PRE-B1g,PRE-N4,POST-B1g-H1,POST-N4,,15.61,17.50,-1.89
PRE-B1g,PRE-N4,POST-B1g-H2,POST-N4,,17.49,18.40,-0.91
PRE-B1g,PRE-N4,POST-B1g-H3,POST-N4,,18.59,19.00,-0.41
PRE-B1h,PRE-N4,POST-B1h-H1,POST-N4,,13.69,14.00,-0.31
PRE-B1h,PRE-N4,POST-B1h-H2,POST-N4,,16.43,16.20,0.23
PRE-B1h,PRE-N4,POST-B1h-H3,POST-N4,,18.17,18.70,-0.53
PRE-B1j,PRE-N4,POST-B1j-H1,POST-N4,,17.85,18.20,-0.35
PRE-B1j,PRE-N4,POST-B1j-H2,POST-N4,,18.04,17.50,0.54
PRE-B1j,PRE-N4,POST-B1j-H3,POST-N4,,18.86,19.40,-0.54
PRE-B1k,PRE-N4,POST-B1k-H1,POST-N4,,20.41,21.00,-0.59
PRE-B1k,PRE-N4,POST-B1k-H2,POST-N4,,17.70,18.40,-0.70
PRE-B1k,PRE-N4,POST-B1k-H3,POST-N4,,18.82,19.60,-0.78
PRE-B1l,PRE-N4,POST-B1l-H1,POST-N4,,17.68,17.50,0.18
PRE-B1l,PRE-N4,POST-B1l-H2,POST-N4,,16.81,17.50,-0.69
PRE-B1l,PRE-N4,POST-B1l-H3,POST-N4,,18.32,18.50,-0.18
PRE-B1m,PRE-N4,POST-B1m-H1,POST-N4,,17.16,17.50,-0.34
PRE-B1m,PRE-N4,POST-B1m-H2,POST-N4,,16.26,16.60,-0.34
PRE-B1m,PRE-N4,POST-B1m-H3,POST-N4,,18.20,18.90,-0.70
PRE-B1n,PRE-N4,POST-B1n-H1,POST-N4,,9.52,9.90,-0.38
PRE-B1n,PRE-N4,POST-B1n-H2,POST-N4,,15.82,15.30,0.52
PRE-B1n,PRE-N4,POST-B1n-H3,POST-N4,,18.00,19.20,-1.20
PRE-B2a,PRE-N4,POST-B2a-H1,POST-N4,,15.02,15.20,-0.18
PRE-B2a,PRE-N4,POST-B2a-H2,POST-N4,,18.39,18.80,-0.41
PRE-B2b,PRE-N4,POST-B2b-H1,POST-N4,,17.32,18.20,-0.88
PRE-B2b,PRE-N4,POST-B2b-H2,POST-N4,,20.33,21.50,-1.17
PRE-B2c,PRE-N4,POST-B2c-H1,POST-N4,,10.51,9.90,0.61
PRE-B2c,PRE-N4,POST-B2c-H2,POST-N4,,19.08,19.80,-0.72
PRE-B2d,PRE-N4,POST-B2d-H1,POST-N4,,19.03,19.90,-0.87
PRE-B2d,PRE-N4,POST-B2d-H2,POST-N4,,20.77,21.70,-0.93
PRE-B2e,PRE-N4,POST-B2e-H1,POST-N4,,13.60,13.50,0.10
PRE-B2e,PRE-N4,POST-B2e-H2,POST-N4,,17.99,19.60,-1.61
PRE-B2f,PRE-N4,POST-B2f-H1,POST-N4,,13.07,13.10,-0.03
PRE-B2f,PRE-N4,POST-B2f-H2,POST-N4,,19.11,19.80,-0.69
PRE-B2g,PRE-N4,POST-B2g-H2,POST-N4,,19.73,21.50,-1.77
PRE-B2h,PRE-N4,POST-B2h-H1,POST-N4,,12.71,13.10,-0.39
PRE-B2h,PRE-N4,POST-B2h-H2,POST-N4,,19.07,19.60,-0.53
PRE-B2j,PRE-N4,POST-B2j-H1,POST-N4,,16.80,18.00,-1.20
PRE-B2j,PRE-N4,POST-B2j-H2,POST-N4,,19.56,20.30,-0.74
PRE-B2k,PRE-N4,POST-B2k-H1,POST-N4,,19.20,19.90,-0.70
PRE-B2k,PRE-N4,POST-B2k-H2,POST-N4,,20.18,20.90,-0.72
PRE-B2l,PRE-N4,POST-B2l-H1,POST-N4,,15.89,16.10,-0.21
PRE-B2l,PRE-N4,POST-B2l-H2,POST-N4,,18.56,19.20,-0.64
PRE-B2m,PRE-N4,POST-B2m-H1,POST-N4,,16.44,17.20,-0.76
PRE-B2m,PRE-N4,POST-B2m-H2,POST-N4,,18.12,19.20,-1.08
PRE-B2n,PRE-N4,POST-B2n-H1,POST-N4,,9.80,10.20,-0.40
PRE-B2n,PRE-N4,POST-B2n-H2,POST-N4,,17.95,19.00,-1.05
PRE-C1a,PRE-N4,POST-C1a-H1,POST-N4,,14.73,15.10,-0.37
PRE-C1b,PRE-N4,POST-C1b-H1,POST-N4,,16.61,17.00,-0.39
PRE-C1c,PRE-N4,POST-C1c-H1,POST-N4,,12.37,13.30,-0.93
PRE-C1d,PRE-N4,POST-C1d-H1,POST-N4,,18.27,18.50,-0.23
PRE-C1e,PRE-N4,POST-C1e-H1,POST-N4,,13.54,13.40,0.14
PRE-C1f,PRE-N4,POST-C1f-H1,POST-N4,,13.17,13.10,0.07
PRE-C1g,PRE-N4,POST-C1g-H1,POST-N4,,14.74,16.50,-1.76
PRE-C1h,PRE-N4,POST-C1h-H1,POST-N4,,13.47,14.20,-0.73
PRE-C1i,PRE-N4,POST-C1i-H1,POST-N4,,15.64,16.40,-0.76
PRE-C1j,PRE-N4,POST-C1j-H1,POST-N4,,16.16,16.90,-0.74
PRE-C1k,PRE-N4,POST-C1k-H1,POST-N4,,18.48,18.90,-0.42
PRE-C1l,PRE-N4,POST-C1l-H1,POST-N4,,16.06,15.70,0.36
PRE-C1m,PRE-N4,POST-C1m-H1,POST-N4,,15.38,16.10,-0.72
PRE-C1n,PRE-N4,POST-C1n-H1,POST-N4,,11.09,11.80,-0.71
PRE-D1a,PRE-N4,POST-D1a-H1,POST-N4,,14.32,14.70,-0.38
PRE-D1b,PRE-N4,POST-D1b-H1,POST-N4,,16.07,16.60,-0.53
PRE-D1c,PRE-N4,POST-D1c-H1,POST-N4,,11.26,12.50,-1.24
PRE-D1d,PRE-N4,POST-D1d-H1,POST-N4,,17.91,18.40,-0.49
PRE-D1e,PRE-N4,POST-D1e-H1,POST-N4,,13.98,14.70,-0.72
